,Position,Team,P,W,L,T,NR,PTS,NRR,Year,Q1,E,Q2,F
0,1,GT,14,10,4,0,0,20,+0.316,2022,W,,,W
1,2,RR,14,9,5,0,0,18,+0.298,2022,L,,W,L
2,3,LSG,14,9,5,0,0,18,+0.251,2022,,L,,
3,4,RCB,14,8,6,0,0,16,-0.253,2022,,W,L,
4,5,DC,14,7,7,0,0,14,+0.204,2022,,,,
5,6,PBKS,14,7,7,0,0,14,+0.126,2022,,,,
6,7,KKR,14,6,8,0,0,12,+0.146,2022,,,,
7,8,SRH,14,6,8,0,0,12,-0.379,2022,,,,
8,9,CSK,14,4,10,0,0,8,-0.203,2022,,,,
9,10,MI,14,4,10,0,0,8,-0.506,2022,,,,
10,1,GT,14,10,4,0,0,20,+0.809,2023,L,,W,L
11,2,CSK,14,8,5,0,1,17,+0.652,2023,W,,,W
12,3,LSG,14,8,5,0,1,17,+0.284,2023,,L,,
13,4,MI,14,8,6,0,0,16,-0.044,2023,,W,L,
14,5,RR,14,7,7,0,0,14,+0.148,2023,,,,
15,6,RCB,14,7,7,0,0,14,+0.135,2023,,,,
16,7,KKR,14,6,8,0,0,12,-0.239,2023,,,,
17,8,PBKS,14,6,8,0,0,12,-0.304,2023,,,,
18,9,DC,14,5,9,0,0,10,-0.808,2023,,,,
19,10,SRH,14,4,10,0,0,8,-0.590,2023,,,,
20,1,KKR,14,9,3,0,2,20,+1.428,2024,W,,,W
21,2,SRH,14,8,5,0,1,17,+0.414,2024,L,,W,L
22,3,RR,14,8,5,0,1,17,+0.273,2024,,W,L,
23,4,RCB,14,7,7,0,0,14,+0.459,2024,,L,,
24,5,CSK,14,7,7,0,0,14,+0.392,2024,,,,
25,6,DC,14,7,7,0,0,14,-0.377,2024,,,,
26,7,LSG,14,7,7,0,0,14,-0.667,2024,,,,
27,8,GT,14,5,7,0,2,12,-1.063,2024,,,,
28,9,PBKS,14,5,9,0,0,10,-0.353,2024,,,,
29,10,MI,14,4,10,0,0,8,-0.318,2024,,,,
30,1,PBKS,14,9,4,0,1,19,+0.372,2025,L,,W,L
31,2,RCB,14,9,4,0,1,19,+0.301,2025,W,,,W
32,3,GT,14,9,5,0,0,18,+0.254,2025,,L,,
33,4,MI,14,8,6,0,0,16,+1.142,2025,,W,L,
34,5,DC,14,7,6,0,1,15,+0.011,2025,,,,
35,6,SRH,14,6,7,0,1,13,-0.241,2025,,,,
36,7,LSG,14,6,8,0,0,12,-0.376,2025,,,,
37,8,KKR,14,5,7,0,2,12,-0.305,2025,,,,
38,9,RR,14,4,10,0,0,8,-0.549,2025,,,,
39,10,CSK,14,4,10,0,0,8,-0.647,2025,,,,
